,Sentences,Predicted Class,True Class,Probabilities
16,Um...what a waste of money and my time. Because I paid for this...I had to read it to the end.,negative,neutral,"[0.9212200045585632, 0.06257300823926926, 0.016207056120038033]"
17,This album is OK. Just OK.,neutral,neutral,"[0.19431675970554352, 0.7785966992378235, 0.027086615562438965]"
18,I consider this to be a compilation rather than a real organic live solo piano release.,neutral,negative,"[0.3157183527946472, 0.567561686038971, 0.11671990156173706]"
19,"Just a copy of Clash of Clans! I mean, you can just download Coc from 1mobile app store.Just a copy",negative,negative,"[0.7441892027854919, 0.19651663303375244, 0.059294164180755615]"
20,Just....1star...so much potential,positive,negative,"[0.03638775274157524, 0.14708589017391205, 0.8165263533592224]"
21,I have wifi but it does not let me play online,negative,neutral,"[0.8480045199394226, 0.12633085250854492, 0.025664672255516052]"
22,Loved it all the way until the end. A lot like the &#34;old&#34; Stephen King,positive,neutral,"[0.027827151119709015, 0.16905659437179565, 0.8031162619590759]"
23,One of my all time favorites. The dancing is amazing!,positive,negative,"[0.014841250143945217, 0.042075660079717636, 0.9430831074714661]"
24,This James Bond looks like a German to me,neutral,neutral,"[0.30479705333709717, 0.5352436900138855, 0.15995930135250092]"
25,"Tons of fun, very addicting",positive,positive,"[0.015573017299175262, 0.04844369366765022, 0.9359833002090454]"
26,"Pieces do not move readily, often not at all.",negative,negative,"[0.7134572267532349, 0.25954702496528625, 0.026995811611413956]"
27,Wonderful story of young love.,positive,positive,"[0.015855591744184494, 0.05259990319609642, 0.9315445423126221]"
28,Extremely well written children's book.,positive,neutral,"[0.01572137512266636, 0.05797623470425606, 0.9263023734092712]"
29,Nice app. Nothing special.,neutral,neutral,"[0.11871974170207977, 0.8005577921867371, 0.08072248846292496]"
30,To much for kids,positive,negative,"[0.16783516108989716, 0.37565693259239197, 0.4565078914165497]"
31,"I'm surprised how good this show is,  its been exceptional for years.  A great addition to Amazon.",positive,positive,"[0.01564626209437847, 0.05365157872438431, 0.9307020902633667]"
32,I didn't care for this book. Slow and a bit boring. Very short. Did not live up to my expectations.,negative,negative,"[0.9151268005371094, 0.07223206013441086, 0.012641147710382938]"
33,...alot about nothing...sooo  busy...loud and obnoxious,negative,negative,"[0.8945832252502441, 0.08738931268453598, 0.01802748441696167]"
34,A story with a good twist,positive,positive,"[0.026538589969277382, 0.3310299515724182, 0.6424314975738525]"
35,"Was ok. but lacked the intricacies of the original, maybe they shouldn't have killed off Morgan!!",neutral,neutral,"[0.10113301128149033, 0.8611000776290894, 0.03776686266064644]"
36,I downloaded this book to my Kindle.  Such a fast read!  Can't wait to read the rest of the trilogy!,positive,positive,"[0.019294386729598045, 0.04178360477089882, 0.9389219880104065]"
37,This is the best bingo games there is. It is very easy to play and also very addictive game. :),positive,positive,"[0.01880318485200405, 0.06975806504487991, 0.9114387631416321]"
38,Interesting viewpoint although I struggled to get into the story. Not as good as I'd hoped.,neutral,neutral,"[0.06141979247331619, 0.8944975733757019, 0.04408261552453041]"
39,It had one particular outlandish aspect I just couldn't get into. But great characters and sad.,positive,neutral,"[0.03414596617221832, 0.3948996067047119, 0.570954442024231]"
40,I feel like I just read the outtakes and if nothing else it shows how important a good editor is,neutral,neutral,"[0.06098610907793045, 0.6013269424438477, 0.33768701553344727]"
41,"Great game..,fast furious!",positive,positive,"[0.016679158434271812, 0.04178151860833168, 0.9415393471717834]"
42,It's ok something simple to pass the time away.,neutral,negative,"[0.06392201781272888, 0.8968152403831482, 0.0392627976834774]"
43,DIDN'T LIKE IT,negative,negative,"[0.7717700004577637, 0.2114400565624237, 0.016789933666586876]"
44,The movie itself was ok,neutral,neutral,"[0.12697049975395203, 0.8462565541267395, 0.02677294798195362]"
45,Not my kind of movie... Entirely too much nudity and sexual content.,negative,negative,"[0.8962305784225464, 0.09019143879413605, 0.013577967882156372]"
46,It is so fun and there is really adorable animals<br />animls,positive,positive,"[0.019316846504807472, 0.059285350143909454, 0.9213977456092834]"
47,Haven't read the others yet.,negative,neutral,"[0.5352318286895752, 0.4402880370616913, 0.024480091407895088]"
48,There is no working option to uninstall this on my note 2 and I'm no dummy with android. Help!,negative,negative,"[0.820448637008667, 0.11131435632705688, 0.06823700666427612]"
49,Good movie. The story and action are all well done.,positive,positive,"[0.023262150585651398, 0.22412553429603577, 0.7526123523712158]"
50,was supposed to come with a download for ripping a CD... it didn't work :-/,negative,negative,"[0.9028882384300232, 0.07997313886880875, 0.017138686031103134]"
51,not worth a second watch,negative,neutral,"[0.8827215433120728, 0.1032676175236702, 0.014010860584676266]"
52,I hate this movie... DO NOT BUY THIS MOVIE.,negative,negative,"[0.9204710721969604, 0.05544990301132202, 0.02407907508313656]"
53,I bought the movie very good and bought all 10 copies of it to give to the State Police here.,positive,positive,"[0.054602500051259995, 0.26277709007263184, 0.6826204657554626]"
54,Below average.,negative,negative,"[0.5168527960777283, 0.44344499707221985, 0.03970217704772949]"
55,What is the order no. for this book?  I purchased it 9/16/13,negative,negative,"[0.8152115941047668, 0.12472569197416306, 0.06006268784403801]"
56,"The game is the best but I can't play for more than 5 seconds, so can you guys fix it for kindle",neutral,neutral,"[0.09391047805547714, 0.6264928579330444, 0.27959659695625305]"
57,"Good, not great. Gone Girl was much better.",neutral,neutral,"[0.16147585213184357, 0.8118283152580261, 0.02669586054980755]"
58,could not watch the whole movie.  Good actors but  Where was the Hilarity the movie promised?,negative,negative,"[0.7400174736976624, 0.2381751537322998, 0.02180728316307068]"
59,okay i went a downladed like 10 songs and it only shows two. so my question is where are my songs?,neutral,negative,"[0.4154825508594513, 0.5591132640838623, 0.025404121726751328]"
60,I really did like game when I started to play but have gotten rather bored with it.,neutral,neutral,"[0.07233928889036179, 0.8588989973068237, 0.06876170635223389]"
61,"Good book, loved it, just dragged on a tiny bit",positive,neutral,"[0.02416215091943741, 0.30171462893486023, 0.674123227596283]"
62,Love this app! Very easy to use and it was exactly what I was looking for.,positive,positive,"[0.015193196013569832, 0.04129844158887863, 0.9435083270072937]"
63,I didn't really like it cuz it wuz juss so boring n I think u could do betta wit dis book,negative,negative,"[0.8430182933807373, 0.13312679529190063, 0.023854931816458702]"
64,i like this but there should be a password to the child mode because people can turn that off easily,neutral,neutral,"[0.10710828006267548, 0.8155335783958435, 0.07735805213451385]"
65,The picture was incredibly dark. I couldn't finish it,negative,neutral,"[0.7754224538803101, 0.186367928981781, 0.03820958361029625]"
66,I love this game there is like no adds you should get this game  I hope you agree if you get it .,positive,positive,"[0.016123810783028603, 0.05213816836476326, 0.931738018989563]"
67,Joe Kidd is not my favorite Clint western but it's good and a must have if you have a collection.,positive,neutral,"[0.029607312753796577, 0.3899048864841461, 0.580487847328186]"
68,Not an easy book for reading at leisure.,negative,neutral,"[0.6707744002342224, 0.31395435333251953, 0.015271268784999847]"
69,Not even close to being historically ccurate.,negative,negative,"[0.787286102771759, 0.19379635155200958, 0.018917594105005264]"
70,no where close to Band of Brothers,negative,neutral,"[0.5727106928825378, 0.31891173124313354, 0.10837758332490921]"
71,"Sensitively written considering the dark, dark background. The characters were very plausible.",neutral,positive,"[0.05032597482204437, 0.5700736045837402, 0.3796004354953766]"
72,Harry Potter must not go back to Hogwarts!,negative,positive,"[0.5574057698249817, 0.14003919064998627, 0.3025550842285156]"
73,Very weak story line reads slow and a bit boring.,negative,negative,"[0.7457591891288757, 0.2409617006778717, 0.013279085047543049]"
74,My Son Loved It! Ok...I did too.  It was too cute.  My son watched it over and over again. Thanks,positive,positive,"[0.04329735413193703, 0.23036296665668488, 0.7263396978378296]"
75,In my opinion it was ok. Not sure if I could recommend it.,neutral,neutral,"[0.1738263964653015, 0.8006675243377686, 0.025506068021059036]"
76,Figured this out before I read it.  Did not like it at all.Bounced back & forth too much.,negative,negative,"[0.8470677733421326, 0.1387031525373459, 0.014229106716811657]"
77,Keep them coming.,positive,positive,"[0.11598441004753113, 0.40764153003692627, 0.4763740599155426]"
78,Love is in the air because I'm in love with this movie collection!!,positive,positive,"[0.02188439667224884, 0.036530639976263046, 0.9415850043296814]"
79,Not as good as I remembered it.,neutral,neutral,"[0.19400180876255035, 0.7791780233383179, 0.02682015672326088]"
80,This product came in great conditions!,positive,positive,"[0.025133781135082245, 0.06278342008590698, 0.9120827913284302]"
81,Perfect replacement. Price and delivery were exceptional.,positive,positive,"[0.018558425828814507, 0.07333645224571228, 0.9081050753593445]"
82,"fail, crashes randomly doesn't work well with 5.0.2L",negative,negative,"[0.8418846726417542, 0.1411447525024414, 0.016970541328191757]"
83,Clearly explains how Fascism came to be.  Read Follet.... gain brain cells,positive,positive,"[0.07676707208156586, 0.18673574924468994, 0.736497163772583]"
84,Hollywood entertainment. God effects.,positive,neutral,"[0.0784243643283844, 0.1950037181377411, 0.7265718579292297]"
85,"Loud, noisy, and way way too long. Was glad when it was over.",neutral,negative,"[0.24647174775600433, 0.7074456810951233, 0.04608253389596939]"
86,A must read if you ever wondered why you were different and/or were drawn to the occult.,positive,positive,"[0.02284000627696514, 0.11236792057752609, 0.8647921085357666]"
87,Had all the right ingredients for a great movie but lost my interest,neutral,negative,"[0.29047641158103943, 0.6558257937431335, 0.05369773879647255]"
88,it was okay. not quite as compelling a read as the other books in the series.,neutral,neutral,"[0.04134709760546684, 0.9107824563980103, 0.047870442271232605]"
89,Didn't work and therefore didn't like,negative,negative,"[0.8934751152992249, 0.09114144742488861, 0.015383384190499783]"
90,Piece of carp doesn't even download for my kindle .....please fix this.,negative,negative,"[0.9227981567382812, 0.05530187115073204, 0.021899988874793053]"
91,Was fun then tedious,neutral,neutral,"[0.23772484064102173, 0.7349549531936646, 0.027320249006152153]"
92,So far this game seems interesting. It's not as easy to see items like most hide and seek games.,neutral,neutral,"[0.047227244824171066, 0.8789456486701965, 0.0738271027803421]"
93,"Story concluded to quickly and was anti climatic, but a good read.",neutral,neutral,"[0.04005397856235504, 0.8865090608596802, 0.07343688607215881]"
94,This is cool too,positive,positive,"[0.030874066054821014, 0.24945397675037384, 0.719671905040741]"
95,It is one of the best games on the kindle store!,positive,positive,"[0.018994158133864403, 0.05570445582270622, 0.9253013134002686]"
96,Great book!  I particularly enjoyed the exchanges between the Kennedy's and Martin L. King,positive,positive,"[0.016364842653274536, 0.057776905596256256, 0.9258582592010498]"
97,great song - the rest of the album is a bit slow and boring,neutral,neutral,"[0.19892199337482452, 0.763313889503479, 0.03776409104466438]"
98,herd read,neutral,neutral,"[0.2642798125743866, 0.45742613077163696, 0.27829402685165405]"
99,Game is OK.,neutral,neutral,"[0.23599745333194733, 0.74129319190979, 0.022709304466843605]"
100,"Love this movie, the graphics are amazing!",positive,positive,"[0.014622153714299202, 0.03502609580755234, 0.9503517746925354]"
101,Acting was really good but didn't enjoy the story line much.,neutral,negative,"[0.0979938805103302, 0.8703996539115906, 0.03160646930336952]"
102,quality low,negative,negative,"[0.6712716221809387, 0.30141040682792664, 0.027318021282553673]"
103,Dumped from the Kindle,negative,negative,"[0.9072174429893494, 0.07065537571907043, 0.02212710864841938]"
104,My favorite movie from my childhood,positive,positive,"[0.025848014280200005, 0.0771002247929573, 0.8970517516136169]"
105,"An enjoyable, creepy, dark film.",positive,positive,"[0.0475953109562397, 0.44890764355659485, 0.5034971237182617]"
106,I got to the part of entering the train times and it wont accept them and let me move on. Grrrrrrr.,neutral,neutral,"[0.4064212441444397, 0.5324183702468872, 0.061160385608673096]"
107,This game is okay but it does leave something to be desired by gamers. A good pass time game though.,neutral,neutral,"[0.03497420996427536, 0.8644720911979675, 0.10055375844240189]"
108,Cute and great movie,positive,positive,"[0.016058899462223053, 0.04914608970284462, 0.9347949624061584]"
109,Awesomeness ;) :p<br />I love it so much that I would read it over again and get The Queen luv ya,positive,positive,"[0.02032439038157463, 0.044027283787727356, 0.9356482625007629]"
110,Entertaining movie about the birth of Israel and the affect of nazi cruelty.,positive,neutral,"[0.03546110913157463, 0.14809131622314453, 0.8164474964141846]"
111,Its dumb. Not worth your time. They are just stupid videos that random people put on. DO NOT GET IT!,negative,negative,"[0.9241993427276611, 0.05993854999542236, 0.01586212031543255]"
112,*I* liked this movie when I was younger...but it just didn't hold the kids' interest...odd.,negative,neutral,"[0.5803539752960205, 0.3991066515445709, 0.02053936757147312]"
113,worthless,negative,negative,"[0.9086652994155884, 0.07248882204294205, 0.018845874816179276]"
114,I love this game but I whish there were instution for each game spend a lot of time playing it,neutral,positive,"[0.10868793725967407, 0.6587542295455933, 0.23255781829357147]"
115,But waiting for the energy to recharge is the hard part.,neutral,neutral,"[0.3130320906639099, 0.648686408996582, 0.03828157112002373]"
116,Excellent as always!!,positive,positive,"[0.018503500148653984, 0.04791275039315224, 0.9335837960243225]"
117,"Good, interesting but not enough surprises.  Was a little disappointed after reading the reviews.",neutral,neutral,"[0.046719178557395935, 0.9030226469039917, 0.05025815591216087]"
118,not recorded in analog..so no reason to have it on record..but great album to have,positive,neutral,"[0.040575336664915085, 0.28007015585899353, 0.6793544888496399]"
119,Interesting read involving courts and lawyers.,positive,positive,"[0.028377607464790344, 0.29874858260154724, 0.6728737950325012]"
120,"some great acting, in a story that wasn't sure what it was supposed to be...",positive,neutral,"[0.035506706684827805, 0.3077046573162079, 0.6567886471748352]"
121,(I thought it would be better),neutral,neutral,"[0.18965493142604828, 0.650347888469696, 0.15999719500541687]"
122,games just love them,positive,positive,"[0.03233790025115013, 0.11304381489753723, 0.8546182513237]"
123,"Based on this book, Gillian Flynn will never be read again by me.",negative,negative,"[0.5939600467681885, 0.24018478393554688, 0.16585512459278107]"
124,Fits the kindle fire fine.,neutral,neutral,"[0.041673023253679276, 0.6325494647026062, 0.325777530670166]"
125,"Love, love, love this CD and love, love, love Ed Sheeran.",positive,positive,"[0.02274550311267376, 0.04390914738178253, 0.9333454370498657]"
126,David is great as usually. He is my favorite of P.F.!,positive,positive,"[0.019038312137126923, 0.11535479873418808, 0.8656069040298462]"
127,Wordy. Overwritten with some redeeming moments,negative,neutral,"[0.6737278699874878, 0.3012116253376007, 0.025060486048460007]"
128,So many wonderful lessons in this movie!,positive,positive,"[0.015929879620671272, 0.035652343183755875, 0.9484177231788635]"
129,Really like the music from this movie!,positive,neutral,"[0.020405426621437073, 0.06491880863904953, 0.9146757125854492]"
130,Lovely game,positive,positive,"[0.02349848859012127, 0.10264824330806732, 0.8738532662391663]"
131,silly app my daughter downloaded,negative,negative,"[0.8893074989318848, 0.08461537957191467, 0.0260771494358778]"
132,I was bored.  The whole book.  I just don't have anything else to say.,negative,negative,"[0.8672280311584473, 0.11741597950458527, 0.015356041491031647]"
133,Kind of a short video for the money.,neutral,neutral,"[0.4614076316356659, 0.5003349781036377, 0.03825732320547104]"
134,I love Robert Redford but this was a dud!!!!,negative,negative,"[0.7659571766853333, 0.16697350144386292, 0.06706937402486801]"
135,"As good as her other book, The Husband's Secret. A good read!",positive,neutral,"[0.01638144999742508, 0.09691641479730606, 0.8867021203041077]"
136,Amazing cd as expected.,positive,positive,"[0.01915418542921543, 0.11359061300754547, 0.8672552704811096]"
137,a great story. a good read for game of thrones fans. get a peek into the 5th season,positive,positive,"[0.014763429760932922, 0.06629124283790588, 0.9189453125]"
138,Such a great film,positive,positive,"[0.015494517982006073, 0.045655157417058945, 0.9388503432273865]"
139,Difficult to print email from Outlook,negative,negative,"[0.7667099237442017, 0.21388112008571625, 0.019408928230404854]"
140,A good life lesson.  That is why you must have faith and conviction,positive,positive,"[0.02149208076298237, 0.10249654203653336, 0.8760113716125488]"
141,"My 8 yr old loved the first book, so I bought him this boxed set for Christmas.  He loves it.",positive,positive,"[0.018828537315130234, 0.07125531136989594, 0.9099161624908447]"
142,Pretty engaging but the ending felt very contrived.  It could have been much better.,neutral,neutral,"[0.10853630304336548, 0.8578969240188599, 0.033566709607839584]"
143,It's okay. To long though for the energy,neutral,neutral,"[0.054444365203380585, 0.8868181705474854, 0.05873745679855347]"
144,I don't use it anymore.,negative,negative,"[0.8825584650039673, 0.10220237076282501, 0.015239087864756584]"
145,"AWESOME, Another Baldacci hit",positive,positive,"[0.02107089012861252, 0.07041973620653152, 0.908509373664856]"
146,Boring and interesting at the same time. Very wordy about a life-style that is quite pitiful.,negative,neutral,"[0.8212699294090271, 0.16192956268787384, 0.016800472512841225]"
147,To unlock heroes you must level up your command center,positive,neutral,"[0.07888764142990112, 0.17754027247428894, 0.7435720562934875]"
148,Too much evil. I couldn't finish it.,negative,negative,"[0.9037236571311951, 0.07669283449649811, 0.019583458080887794]"
149,Not to the standard of the other movies,negative,neutral,"[0.6775258183479309, 0.3020073473453522, 0.020466824993491173]"
150,"Didn't watch it, has Tom Cruise in it.  Also it blew ass.",negative,negative,"[0.8916274905204773, 0.08986641466617584, 0.018506091088056564]"
151,too slow for me to enjoy.<br />Might be best suited to be a &#34;teens&#34; story.,negative,neutral,"[0.5394197702407837, 0.4398003816604614, 0.020779840648174286]"
152,I get &amp;#34;X App not installed&amp;#34; after trying to install the app.,negative,negative,"[0.8849285840988159, 0.09422212094068527, 0.02084929496049881]"
153,My daughter reads it all the time,positive,positive,"[0.051268842071294785, 0.19979572296142578, 0.7489354610443115]"
154,Smart chick flick that even men might enjoy,positive,positive,"[0.0377001017332077, 0.29159924387931824, 0.67070072889328]"
155,I never got it! Got two of session 3.,negative,negative,"[0.6657206416130066, 0.2759949564933777, 0.0582844577729702]"
156,enjoyable but no solidfoundation for its theories light hearted,neutral,neutral,"[0.06910480558872223, 0.8188227415084839, 0.11207243800163269]"
157,Personal was a very good story. It held your interest all the way to the end.,positive,positive,"[0.030988484621047974, 0.3400154411792755, 0.6289960145950317]"
158,"Good, but not great",neutral,neutral,"[0.07359209656715393, 0.8750799298286438, 0.05132796987891197]"
159,Ok book but bad ending too much bad stuff happens to Greg but no to Rowley not cool part of book,neutral,neutral,"[0.1444268822669983, 0.8037041425704956, 0.05186896771192551]"
160,"Read it in a flash, great book!!!  Am already reading it again and savoring the details!!",positive,positive,"[0.015656867995858192, 0.03434876352548599, 0.9499943852424622]"
161,Really bad. Won't bother with rest of trilogy.,negative,negative,"[0.6692253947257996, 0.30312803387641907, 0.027646517381072044]"
162,"Not hard, attention to detail is needed.",neutral,neutral,"[0.06775112450122833, 0.7883759140968323, 0.14387297630310059]"
163,"I love vinyl and i love Arctic Monkey, so I love this product.",positive,positive,"[0.017889995127916336, 0.04606471210718155, 0.9360453486442566]"
164,Good movie.  The 2nd one is even better.,neutral,neutral,"[0.044754885137081146, 0.7117152810096741, 0.2435297816991806]"
165,like the ones ive done....now what did i buy?,negative,neutral,"[0.5096182823181152, 0.4070473611354828, 0.08333437889814377]"
166,Dumb!  Don't waste your time.,negative,negative,"[0.9195284843444824, 0.06082725152373314, 0.019644323736429214]"
167,"I did not order this app, how do I get a refund? This is the worst customer service I have had",negative,negative,"[0.9298954010009766, 0.04974135011434555, 0.02036321721971035]"
168,It's not a bad game to keep you occupied but it's not my favorite.,neutral,neutral,"[0.07074357569217682, 0.8869734406471252, 0.04228293150663376]"
169,The cover had a tear but my son didnt mind!,negative,neutral,"[0.618705689907074, 0.31997957825660706, 0.06131475046277046]"
170,A great game to play alone.  This version is better than some out there...not as frustrating.,positive,positive,"[0.026996519416570663, 0.3842792212963104, 0.5887243151664734]"
171,Love Matthew!💝💓,positive,positive,"[0.029292961582541466, 0.04536755755543709, 0.9253395199775696]"
172,"Not one of Brad Pitt's best, but not bad!!!",positive,neutral,"[0.04786358028650284, 0.3902793526649475, 0.5618571639060974]"
173,My daughter enjoyed reading,positive,positive,"[0.03898868337273598, 0.2643197774887085, 0.6966915726661682]"
174,doesnt work but i paid fix this or else ill sue you for taking my money and not giving product,negative,negative,"[0.9065554738044739, 0.07586249709129333, 0.017581956461071968]"
175,Skipped and poor condition!!!! So disappointed!,negative,negative,"[0.9227057099342346, 0.058687880635261536, 0.01860644295811653]"
176,"way too wordy, not up to the Reacher action stories.",neutral,negative,"[0.32405605912208557, 0.6540859341621399, 0.021857975050807]"
177,Boring good for young children not adults.,negative,negative,"[0.8520664572715759, 0.13254815340042114, 0.015385305508971214]"
178,Laughed my butt off.,negative,positive,"[0.8869363069534302, 0.08543653041124344, 0.027627184987068176]"
179,it works very slowly and with braking,neutral,neutral,"[0.17753084003925323, 0.6450327038764954, 0.17743650078773499]"
180,"LOVE this movie!!!!  DVD arrived quickly, been enjoying it a lot.",positive,positive,"[0.015690326690673828, 0.040334541350603104, 0.9439751505851746]"
181,HEY ALL. THIS CD SUCKS. I DOWNLOADED IT FROM THE INTERNET AND IT SUCKS.,negative,negative,"[0.9121711850166321, 0.06884568929672241, 0.01898314245045185]"
182,I can't understand all the hype about this series.,negative,negative,"[0.8456795811653137, 0.1316768079996109, 0.02264356054365635]"
183,I think this is a fun game but it is slow and can glitch frequently.😁😕😢,neutral,positive,"[0.08519303053617477, 0.7973452806472778, 0.11746173352003098]"
184,"It was fun, but a bit like a movie made for the ScyFy [sic] channel.",neutral,neutral,"[0.04498319327831268, 0.8985692858695984, 0.056447502225637436]"
185,Not as intriguing as two earlier parts of this trilogy<br />Somewhat disappointing overall,neutral,neutral,"[0.20446546375751495, 0.7634096145629883, 0.03212497755885124]"
186,"Too new to really evauate at this time. So far so good,",positive,neutral,"[0.042328353971242905, 0.3065445125102997, 0.6511271595954895]"
187,There are no wolves in the movie,negative,negative,"[0.6163649559020996, 0.305667906999588, 0.07796712964773178]"
188,Only watched first 15 minutes,negative,negative,"[0.5125846266746521, 0.4310656785964966, 0.05634965002536774]"
189,"Wow, so boring :(  I hope they figure it our soon.",negative,negative,"[0.545228123664856, 0.39107024669647217, 0.0637015700340271]"
190,addicting... insanely so... great game - like this one better than Candy Crush...,positive,positive,"[0.02256064862012863, 0.06823673844337463, 0.9092026352882385]"
191,"Love it,,,,",positive,positive,"[0.025736305862665176, 0.05205849930644035, 0.9222052097320557]"
192,This is gimmicky with good performances and mediocre writing.,negative,negative,"[0.7479933500289917, 0.2343977987766266, 0.01760881021618843]"
193,A classic for Star Trek fans,positive,positive,"[0.021190449595451355, 0.07659675925970078, 0.9022128582000732]"
194,great book. nice story and nice flaps to open. my 5 yr old loves it!!,positive,positive,"[0.01460654754191637, 0.05105307698249817, 0.9343404173851013]"
195,I liked the other versions but I can't download this version at all and I don't know what to do,negative,neutral,"[0.7251464128494263, 0.24780964851379395, 0.02704397775232792]"
196,I really haven't used this a lot,neutral,neutral,"[0.4314262568950653, 0.4590452313423157, 0.10952848941087723]"
197,"I bought this game, but it says I don't own the app! I can't do anything, it was a waste of money!",negative,negative,"[0.924788773059845, 0.05352530628442764, 0.02168598584830761]"
198,if you like to draw..this app is for you.,positive,neutral,"[0.04257015138864517, 0.1537335366010666, 0.80369633436203]"
199,The intentions are sweet but it's a lil creepy and a lil sad story.,neutral,neutral,"[0.13160987198352814, 0.8266810774803162, 0.0417090505361557]"
200,"Kind of predictable, but I enjoyed it.",neutral,neutral,"[0.04076775535941124, 0.869152843952179, 0.09007936716079712]"
201,I'm sort of &#34;over&#34; solitaire - but this works well for when you're in the mood.,neutral,neutral,"[0.0351950004696846, 0.7856351137161255, 0.1791699081659317]"
202,I don't understand the concept of the game so that's why I only give  it  1  Stars.  ;-(,negative,negative,"[0.7201907634735107, 0.24669130146503448, 0.03311784937977791]"
203,Didn't really get it. Clans is better.,negative,negative,"[0.5799850225448608, 0.3946210443973541, 0.025393912568688393]"
204,I recommend you get this app. Brilliant,positive,positive,"[0.01781708188354969, 0.047777190804481506, 0.9344057440757751]"
205,"Entertaining, thought provoking, wonderful cast.",positive,neutral,"[0.014756468124687672, 0.06455308943986893, 0.9206904768943787]"
206,Fabulous show !!,positive,positive,"[0.020630961284041405, 0.035409580916166306, 0.9439594745635986]"
207,"Good acting, but the up to date concept is lacking. The Kenneth Branagh version is great.",neutral,neutral,"[0.06260857731103897, 0.8082075715065002, 0.1291837841272354]"
208,I like it better than I thought I would. It's fun and an enjoyable way to pass the time.<br />Enjoy,positive,neutral,"[0.01998153142631054, 0.12419145554304123, 0.8558269739151001]"
209,Was kind of slow at the beginning.  Only part I really enjoy was the fight in the castle.,neutral,neutral,"[0.1190953478217125, 0.8519128561019897, 0.028991827741265297]"
210,This was easily one of my favorite Marvel movies.,positive,positive,"[0.04511624947190285, 0.2469252645969391, 0.7079585790634155]"
211,I got it in the mail and it was totally broken in like 3 pieces,negative,negative,"[0.8362619280815125, 0.13720440864562988, 0.026533637195825577]"
212,and don't be fooled it's<br /><br /> fun for adults,positive,positive,"[0.03953583538532257, 0.26450005173683167, 0.6959640979766846]"
213,One of the best books I've ever read (and I have several degrees in literature).,positive,positive,"[0.01813756488263607, 0.05343041196465492, 0.928432047367096]"
214,"As a fan of the series, I was not disappointed in the movie. I wish they would make another series.",positive,positive,"[0.06228592246770859, 0.41630348563194275, 0.5214105844497681]"
215,every time I go out  and go back it restarts,neutral,negative,"[0.42392367124557495, 0.44507718086242676, 0.13099916279315948]"
216,Stupid and silly,negative,negative,"[0.9199468493461609, 0.05993835628032684, 0.020114708691835403]"
217,Fun and new ways to play.  Will challenge you whatever your skill level.,positive,positive,"[0.016046196222305298, 0.06416536867618561, 0.9197883605957031]"
218,Too way out there for me. It was stupid. I tried to watch it but was bored almost from the start.,negative,negative,"[0.8743371963500977, 0.11312273889780045, 0.01254005916416645]"
219,Set designer deserved ans Oscar...otherwise awful.,negative,negative,"[0.8624624013900757, 0.12170626223087311, 0.01583131216466427]"
220,"It won't open, and it's still occupying my RAM. Fix please",negative,negative,"[0.9084987640380859, 0.07646480947732925, 0.015036440454423428]"
221,Takes too long for energy to recharge,negative,neutral,"[0.8319778442382812, 0.14768007397651672, 0.02034209854900837]"
222,"Superb, intelligent, and original!",positive,positive,"[0.01636015810072422, 0.04204244911670685, 0.9415973424911499]"
